#Zeit [s]	longitude [1e6]	Latitude [1e5]	GPSSpeed [1e2 km/h] 	Tacho [1e2 km/h] 	Temperatur [10 C] 	Druck [Pa] 	HoeheSee [10 m]
50578	9530556	5319958	10224	0	172	99237	-2
50579	9530266	5319939	10317	0	172	99241	-5
50580	9529973	5319920	10404	0	172	99239	-4
50581	9529676	5319901	10450	0	172	99235	0
50582	9529379	5319882	10450	0	172	99221	11
50583	9529079	5319862	10393	0	172	99225	7
50584	9528780	5319843	10400	0	172	99223	9
50585	9528484	5319823	10398	0	172	99234	0
50586	9528188	5319803	10404	0	171	99225	7
50587	9527891	5319784	10397	0	171	99217	14
50588	9527592	5319764	10413	0	171	99228	5
50589	9527289	5319743	10554	0	171	99227	5
50590	9526984	5319724	10504	0	171	99229	4
50591	9526677	5319704	10715	0	171	99227	5
50592	9526370	5319684	10502	0	171	99229	4
50593	9526062	5319665	10613	0	171	99222	10
50594	9525755	5319645	10730	0	171	99221	11
50595	9525448	5319626	10693	0	171	99216	15
50596	9525141	5319607	10700	0	171	99216	15
50597	9524834	5319587	10445	0	171	99216	15
50598	9524525	5319568	10626	0	171	99219	12
50599	9524209	5319549	10637	0	171	99221	11
50600	9523886	5319530	10569	0	171	99217	14
50601	9523553	5319513	10556	0	171	99224	8
50602	9523210	5319496	10524	0	171	99211	19
50603	9522857	5319480	10565	0	171	99220	11
50604	9522493	5319465	10602	0	170	99214	17
50605	9522122	5319450	10573	0	170	99215	16
50606	9521749	5319436	10598	0	170	99212	18
50607	9521372	5319421	10763	0	170	99210	20
50608	9520996	5319406	10836	0	170	99215	16
50609	9520619	5319391	10932	0	170	99218	13
50610	9520241	5319376	10897	0	170	99216	15
50611	9519860	5319361	11041	0	170	99209	21
50612	9519478	5319346	11039	0	170	99207	22
50613	9519095	5319331	11056	0	170	99217	14
50614	9518713	5319316	11069	0	170	99213	17
50615	9518330	5319301	11078	0	170	99219	12
50616	9517950	5319285	10911	0	170	99208	22
50617	9517570	5319270	10952	0	170	99214	17
50618	9517192	5319255	10904	0	170	99216	15
50619	9516813	5319240	10958	0	170	99213	17
50620	9516432	5319225	10906	0	170	99223	9
50621	9516049	5319210	10897	0	169	99213	17
50622	9515664	5319195	10954	0	170	99215	16
50623	9515281	5319180	10921	0	169	99217	14
50624	9514897	5319165	10971	0	169	99223	9
50625	9514513	5319150	10961	0	169	99222	10
50626	9514132	5319135	10961	0	169	99224	8
50627	9513752	5319121	10963	0	169	99216	15
50628	9513372	5319105	10958	0	169	99219	12
50629	9512997	5319090	10958	0	169	99228	5
50630	9512623	5319075	10821	0	169	99232	1
50631	9512254	5319059	10817	0	169	99229	4
50632	9511892	5319043	10811	0	169	99226	6
50633	9511540	5319027	10804	0	169	99221	11
50634	9511200	5319009	10808	0	169	99225	7
50635	9510875	5318990	10808	0	169	99224	8
50636	9510565	5318971	10802	0	169	99231	2
50637	9510269	5318950	10806	0	169	99217	14
50638	9509984	5318929	10800	0	169	99220	11
50639	9509707	5318908	10823	0	169	99218	13
50640	9509438	5318886	10852	0	169	99228	5
50641	9509172	5318864	10954	0	169	99231	2
50642	9508912	5318842	10900	0	169	99229	4
50643	9508653	5318820	10926	0	169	99220	11
50644	9508394	5318797	10932	0	169	99226	6
50645	9508133	5318774	11000	0	169	99222	10
50646	9507870	5318752	11097	0	169	99225	7
50647	9507606	5318730	11061	0	169	99230	3
50648	9507339	5318707	11049	0	169	99217	14
50649	9507072	5318684	11058	0	169	99225	7
50650	9506806	5318662	11071	0	168	99209	21
50651	9506540	5318639	11067	0	168	99226	6
50652	9506275	5318616	11056	0	168	99225	7
50653	9506012	5318593	11056	0	168	99222	10
50654	9505749	5318571	10758	0	168	99229	4
50655	9505489	5318548	10871	0	168	99228	5
50656	9505232	5318527	10369	0	168	99235	0
50657	9504980	5318505	10195	0	168	99228	5
50658	9504733	5318484	10010	0	168	99231	2
50659	9504491	5318463	10113	0	168	99243	-7
50660	9504250	5318442	10161	0	168	99249	-12
50661	9504009	5318422	10150	0	168	99233	0
50662	9503768	5318401	9980	0	168	99245	-9
50663	9503528	5318380	9863	0	168	99246	-10
50664	9503288	5318360	9876	0	168	99247	-11
50665	9503050	5318340	9828	0	168	99242	-6
50666	9502813	5318320	9776	0	168	99256	-18
50667	9502580	5318300	9415	0	168	99252	-15
50668	9502348	5318281	9367	0	168	99245	-9
50669	9502121	5318261	9265	0	168	99254	-17
50670	9501897	5318242	9226	0	168	99252	-15
50671	9501677	5318223	9126	0	168	99267	-28
50672	9501459	5318205	8689	0	168	99269	-29
50673	9501246	5318187	8535	0	168	99253	-16
50674	9501038	5318169	8526	0	168	99259	-21
50675	9500832	5318152	8437	0	168	99257	-19
50676	9500626	5318135	8578	0	168	99267	-28
50677	9500419	5318117	8496	0	168	99261	-22
50678	9500210	5318100	8448	0	168	99267	-28
50679	9500000	5318084	8417	0	167	99259	-21
50680	9499791	5318067	8378	0	168	99263	-24
50681	9499586	5318050	8391	0	168	99269	-29
50682	9499384	5318033	8332	0	168	99269	-29
50683	9499187	5318016	8304	0	168	99264	-25
50684	9498990	5317999	8095	0	167	99262	-23
50685	9498793	5317983	8098	0	167	99259	-21
50686	9498594	5317967	8146	0	167	99266	-27
50687	9498398	5317950	8304	0	168	99265	-26
50688	9498201	5317933	8296	0	167	99268	-28
50689	9498007	5317917	8243	0	167	99264	-25
50690	9497812	5317900	8280	0	167	99255	-17
50691	9497619	5317883	8272	0	167	99257	-19
50692	9497429	5317867	8239	0	167	99253	-16
50693	9497244	5317851	8196	0	167	99262	-23
50694	9497061	5317835	8169	0	167	99266	-27
50695	9496880	5317819	8133	0	167	99265	-26
50696	9496699	5317803	8076	0	167	99265	-26
50697	9496521	5317788	7019	0	167	99275	-34
50698	9496349	5317772	6507	0	167	99281	-39
50699	9496185	5317759	5998	0	167	99279	-38
50700	9496035	5317746	5455	0	167	99282	-40
50701	9495895	5317734	4572	0	167	99285	-43
50702	9495771	5317724	4228	0	167	99287	-45
50703	9495662	5317714	3715	0	167	99286	-44
50704	9495567	5317706	3265	0	167	99284	-42
50705	9495487	5317699	2794	0	167	99285	-43
50706	9495414	5317693	2544	0	167	99285	-43
50707	9495340	5317689	2342	0	167	99288	-45
50708	9495265	5317686	2185	0	167	99288	-45
50709	9495188	5317684	2140	0	167	99282	-40
50710	9495115	5317682	2137	0	167	99277	-36
50711	9495056	5317679	2318	0	167	99281	-39
50712	9495013	5317675	2598	0	167	99274	-34
50713	9494984	5317669	2809	0	167	99269	-29
50714	9494956	5317663	3553	0	167	99263	-24
50715	9494919	5317656	3883	0	167	99273	-33
50716	9494860	5317648	4305	0	167	99274	-34
50717	9494779	5317639	4591	0	167	99278	-37
50718	9494681	5317631	4587	0	167	99276	-35
50719	9494576	5317621	4598	0	167	99261	-22
50720	9494576	5317621	4598	0	167	99265	-26
50721	9494346	5317602	5381	0	167	99262	-23
50722	9494220	5317591	5685	0	167	99262	-23
50723	9494086	5317580	5809	0	167	99256	-18
50724	9493945	5317569	5994	0	167	99260	-22
50725	9493945	5317569	5994	0	167	99264	-25
50726	9493649	5317545	6148	0	167	99266	-27
50727	9493498	5317533	6157	0	167	99265	-26
50728	9493348	5317521	6170	0	167	99253	-16
50729	9493202	5317509	6185	0	167	99250	-13
50730	9493061	5317497	6183	0	167	99253	-16
50731	9492924	5317484	6020	0	167	99255	-17
50732	9492787	5317472	6087	0	167	99253	-16
50733	9492647	5317459	6156	0	168	99255	-17
50734	9492503	5317446	6107	0	168	99252	-15
50735	9492354	5317434	6157	0	167	99250	-13
50736	9492203	5317421	6169	0	168	99251	-14
50737	9492048	5317409	6189	0	168	99250	-13
50738	9491894	5317396	6283	0	167	99240	-5
50739	9491739	5317383	6237	0	168	99244	-8
50740	9491739	5317383	6237	0	168	99250	-13
50741	9491431	5317358	6215	0	168	99251	-14
50742	9491282	5317345	6250	0	168	99254	-17
50743	9491133	5317332	6198	0	168	99249	-12
50744	9490983	5317319	6204	0	168	99252	-15
50745	9490833	5317307	6211	0	168	99251	-14
50746	9490681	5317294	6285	0	168	99255	-17
50747	9490528	5317282	6250	0	168	99250	-13
50748	9490376	5317269	6330	0	168	99254	-17
50749	9490221	5317256	6339	0	168	99243	-7
50750	9490067	5317243	6331	0	168	99246	-10
50751	9489915	5317230	6367	0	168	99249	-12
50752	9489763	5317217	6376	0	168	99254	-17
50753	9489610	5317204	6378	0	168	99255	-17
50754	9489458	5317191	6287	0	168	99259	-21
50755	9489306	5317177	6344	0	168	99270	-30
50756	9489155	5317164	6315	0	168	99263	-24
50757	9489001	5317151	6304	0	168	99269	-29
50758	9488846	5317137	6304	0	168	99273	-33
50759	9488689	5317124	6372	0	168	99270	-30
50760	9488689	5317124	6372	0	168	99272	-32
50761	9488379	5317098	6391	0	168	99278	-37
50762	9488226	5317085	6383	0	168	99280	-39
50763	9488072	5317072	6378	0	168	99274	-34
